name,lat,lon,country,state
Tokyo,35.6897,139.6922,JP,Tōkyō
Jakarta,-6.1750,106.8275,ID,Jakarta
Delhi,28.6100,77.2300,IN,Delhi
Guangzhou,23.1300,113.2600,CN,Guangdong
Mumbai,19.0761,72.8775,IN,Mahārāshtra
Manila,14.5958,120.9772,PH,Manila
Shanghai,31.1667,121.4667,CN,Shanghai
Sao Paulo,-23.5500,-46.6333,BR,São Paulo
Seoul,37.5600,126.9900,KR,Seoul
Mexico City,19.4333,-99.1333,MX,Ciudad de México
Cairo,30.0444,31.2358,EG,Al Qāhirah
New York,40.6943,-73.9249,US,New York
Dhaka,23.7639,90.3889,BD,Dhaka
Beijing,39.9040,116.4075,CN,Beijing
Kolkata,22.5675,88.3700,IN,West Bengal
Bangkok,13.7525,100.4942,TH,Krung Thep Maha Nakhon
Shenzhen,22.5350,114.0540,CN,Guangdong
Moscow,55.7558,37.6178,RU,Moskva
Buenos Aires,-34.5997,-58.3819,AR,"Buenos Aires, Ciudad Autónoma de"
Lagos,6.4550,3.3841,NG,Lagos
Istanbul,41.0136,28.9550,TR,İstanbul
Karachi,24.8600,67.0100,PK,Sindh
Bangalore,12.9789,77.5917,IN,Karnātaka
Ho Chi Minh City,10.7756,106.7019,VN,Hồ Chí Minh
Osaka,34.6939,135.5022,JP,Ōsaka
Chengdu,30.6600,104.0633,CN,Sichuan
Tehran,35.6892,51.3889,IR,Tehrān
Kinshasa,-4.3250,15.3222,CD,Kinshasa
Rio de Janeiro,-22.9111,-43.2056,BR,Rio de Janeiro
Chennai,13.0825,80.2750,IN,Tamil Nādu
Xi'an,34.2667,108.9000,CN,Shaanxi
Lahore,31.5497,74.3436,PK,Punjab
Chongqing,29.5500,106.5069,CN,Chongqing
Los Angeles,34.1141,-118.4068,US,California
Baoding,38.8671,115.4845,CN,Hebei
London,51.5072,-0.1275,GB,"London, City of"
Paris,48.8567,2.3522,FR,Île-de-France
Linyi,35.1041,118.3502,CN,Shandong
Dongguan,23.0475,113.7493,CN,Guangdong
Hyderabad,17.3850,78.4867,IN,Telangāna
Tianjin,39.1467,117.2056,CN,Tianjin
Lima,-12.0600,-77.0375,PE,Lima
Wuhan,30.5872,114.2881,CN,Hubei
Nanyang,32.9987,112.5292,CN,Henan
Hangzhou,30.2500,120.1675,CN,Zhejiang
Foshan,23.0292,113.1056,CN,Guangdong
Nagoya,35.1833,136.9000,JP,Aichi
Taipei,25.0375,121.5625,TW,Taipei
Tongshan,34.2610,117.1859,CN,Jiangsu
Luanda,-8.8383,13.2344,AO,Luanda
Zhoukou,33.6250,114.6418,CN,Henan
Ganzhou,25.8292,114.9336,CN,Jiangxi
Kuala Lumpur,3.1478,101.6953,MY,Kuala Lumpur
Heze,35.2333,115.4333,CN,Shandong
Quanzhou,24.9139,118.5858,CN,Fujian
Chicago,41.8375,-87.6866,US,Illinois
Nanjing,32.0608,118.7789,CN,Jiangsu
Jining,35.4000,116.5667,CN,Shandong
Hanoi,21.0283,105.8542,VN,Hà Nội
Pune,18.5203,73.8567,IN,Mahārāshtra
Fuyang,32.8986,115.8045,CN,Anhui
Ahmedabad,23.0300,72.5800,IN,Gujarāt
Johannesburg,-26.2044,28.0456,ZA,Gauteng
Bogota,4.7111,-74.0722,CO,Bogotá
Dar es Salaam,-6.8161,39.2803,TZ,Dar es Salaam
Shenyang,41.8025,123.4281,CN,Liaoning
Khartoum,15.5006,32.5600,SD,Khartoum
Shangqiu,34.4259,115.6467,CN,Henan
Cangzhou,38.3037,116.8452,CN,Hebei
Hong Kong,22.3000,114.2000,HK,
Shaoyang,27.2418,111.4725,CN,Hunan
Zhanjiang,21.1967,110.4031,CN,Guangdong
Yancheng,33.3936,120.1339,CN,Jiangsu
Hengyang,26.8968,112.5857,CN,Hunan
Riyadh,24.6333,46.7167,SA,Ar Riyāḑ
Zhumadian,32.9773,114.0253,CN,Henan
Santiago,-33.4372,-70.6506,CL,Región Metropolitana
Xingtai,37.0659,114.4753,CN,Hebei
Chattogram,22.3350,91.8325,BD,Chattogram
Bijie,27.3019,105.2863,CN,Guizhou
Shangrao,28.4419,117.9633,CN,Jiangxi
Zunyi,27.7050,106.9336,CN,Guizhou
Surat,21.1702,72.8311,IN,Gujarāt
Surabaya,-7.2458,112.7378,ID,Jawa Timur
Huanggang,30.4500,114.8750,CN,Hubei
Maoming,21.6618,110.9178,CN,Guangdong
Nanchong,30.7991,106.0784,CN,Sichuan
Xinyang,32.1264,114.0672,CN,Henan
Madrid,40.4169,-3.7033,ES,Madrid
Baghdad,33.3153,44.3661,IQ,Baghdād
Qujing,25.5102,103.8029,CN,Yunnan
Jieyang,23.5533,116.3649,CN,Guangdong
Singapore,1.3000,103.8000,SG,
Prayagraj,25.4358,81.8464,IN,Uttar Pradesh
Liaocheng,36.4500,115.9833,CN,Shandong
Dalian,38.9000,121.6000,CN,Liaoning
Yulin,22.6293,110.1507,CN,Guangxi
Changde,29.0397,111.6839,CN,Hunan
Qingdao,36.1167,120.4000,CN,Shandong
Douala,4.0500,9.7000,CM,Littoral
Miami,25.7840,-80.2101,US,Florida
Nangandao,35.2992,113.8851,CN,Henan
Pudong,31.2231,121.5397,CN,Shanghai
Xiangyang,32.0654,112.1531,CN,Hubei
Dallas,32.7935,-96.7667,US,Texas
Houston,29.7860,-95.3885,US,Texas
Zhengzhou,34.7492,113.6605,CN,Henan
Lu'an,31.7542,116.5078,CN,Anhui
Dezhou,37.4513,116.3105,CN,Shandong
Jinan,36.6667,116.9833,CN,Shandong
Giza,29.9870,31.2118,EG,Al Jīzah
Zhaotong,27.3328,103.7144,CN,Yunnan
Yichun,27.8041,114.3830,CN,Jiangxi
Nairobi,-1.2864,36.8172,KE,Nairobi City
Guadalajara,20.6767,-103.3475,MX,Jalisco
Philadelphia,40.0077,-75.1339,US,Pennsylvania
Ankara,39.9300,32.8500,TR,Ankara
Tai'an,36.2001,117.0809,CN,Shandong
Dazhou,31.2152,107.4947,CN,Sichuan
Langfang,39.5196,116.7006,CN,Hebei
Yongzhou,26.4515,111.5953,CN,Hunan
Toronto,43.7417,-79.3733,CA,Ontario
Suihua,46.6384,126.9808,CN,Heilongjiang
Saint Petersburg,59.9500,30.3167,RU,Sankt-Peterburg
Qiqihar,47.3398,123.9512,CN,Heilongjiang
Suzhou,33.6333,116.9683,CN,Anhui
Monterrey,25.6667,-100.3000,MX,Nuevo León
Belo Horizonte,-19.9167,-43.9333,BR,Minas Gerais
Weinan,34.4996,109.4684,CN,Shaanxi
Rangoon,16.7950,96.1600,MM,Yangon
